강릉, ,20 이상, , ,18.5,-3.0,18.2, , ,23,남,,1005.3
강진군, ,20 이상, , ,15.3,4.0,14.9, , ,47,남남서,,1011.8
강화, ,20 이상, , ,10.0,1.8,6.8, , ,57,서남서,,1007.7
거제, ,12.3, , ,13.9,4.1,13.6, , ,52,북북동,,1013.8
거창, ,11.4, , ,16.1,-4.5,15.6, , ,24,남서,,1010.3
경주시, ,13.6, , ,17.3,-7.2,16.5, , ,18,서남서,,1010.4
고산, ,20 이상, , ,15.2,6.7,13.9, , ,57,남,,1014.4
고창, ,20 이상, , ,15.3,-2.6,13.5, , ,29,남,,1012.0
고창군, ,19.2, , ,15.9,-0.7,14.8, , ,32,남,,1011.7
고흥, ,14.3, , ,14.4,4.9,13.5, , ,53,남,,1013.4
광양시, ,9.9, , ,14.6,4.8,14.1, , ,52,서,,1013.5
광주,연무,9.6,0,0,16.1,0.6,15.1, , ,35,서남서,,1012.4
구미, ,13.1, , ,15.9,-4.1,15.9, , ,25,남동,,1009.9
군산, ,11.0, , ,14.9,-0.8,13.3, , ,34,남남서,,1011.3
금산, ,10.0, , ,16.0,-2.5,15.4, , ,28,남서,,1009.2
김해시, ,13.5, , ,13.3,0.0,11.6, , ,40,서남서,,1013.3
남원, ,11.2, , ,15.5,0.8,14.7, , ,37,남남서,,1011.9
남해, ,10.2, , ,13.4,5.7,12.4, , ,60,남남서,,1013.4
대관령, ,20 이상, , ,10.5,-6.8,7.3, , ,29,서,,1005.4
대구,연무,9.4,0,0,17.0,-2.6,17.0, , ,26,남서,,1010.5
대전,연무,9.3,0,0,16.5,-2.5,15.7, , ,27,남남서,,1009.5
동두천, ,20 이상, , ,12.3,0.6,9.9,0.0, ,45,남남서,,1006.4
동해, ,20 이상, , ,17.9,-9.1,17.9, , ,15,남서,,1006.0
목포,맑음,16.6,0,0,15.0,2.8,13.6, , ,44,남,,1012.7
문경, ,12.2, , ,14.4,-3.4,13.8, , ,29,동남동,,1008.7
밀양, ,10.8, , ,15.6,-2.4,15.0, , ,29,남,,1011.2
백령도,연무,7.5,8,0,10.8,4.4,8.2, , ,65,남서,,1003.9
보령, ,11.1, , ,11.7,-0.4,8.6, , ,43,남남서,,1010.0
보성군, ,15.8, , ,14.9,5.9,13.6, , ,55,남서,,1013.3
보은, ,9.2, , ,16.0,-2.0,15.7, , ,29,서남서,,1008.8
봉화, ,11.0, , ,13.3,-4.3,12.0, , ,29,남서,,1007.7
부산,맑음,14.5,0,0,13.5,2.3,11.6, , ,47,남남서,,1012.7
부안, ,14.8, , ,16.2,-0.9,14.8, , ,31,남남서,,1010.4
부여, ,11.2, , ,15.2,-1.4,13.7, , ,32,남남서,,1010.5
북강릉,구름조금,13.7,3,1,16.9,-5.6,16.9, , ,21,남남서,,1004.7
북창원, ,15.1, , ,15.7,1.7,15.1, , ,39,남,,1012.2
북춘천,구름많음,14.0,7,7,13.8,-1.0,12.1, , ,36,남남서,,1006.1
산청, ,10.4, , ,15.8,-0.4,15.7, , ,33,서북서,,1011.3
상주, ,19.6, , ,16.4,-4.8,16.4, , ,23,남남동,,1008.4
서귀포,맑음,20 이상,2,2,15.0,6.0,14.4, , ,55,남서,,1015.0
서산, ,20 이상, , ,12.0,0.7,9.4, , ,46,남남동,,1009.6
서울,흐림,20 이상,9,9,12.8,-0.4,10.7, , ,40,남남서,,1007.2
성산, ,20 이상, , ,15.7,4.0,14.2, , ,46,남서,,1014.3
세종, ,20 이상, , ,16.1,-3.9,15.5, , ,25,남남서,,1008.9
속초, ,14.8, , ,16.8,-3.9,16.3, , ,24,남남서,,1003.3
수원,흐림,13.4,10,10,13.7,-3.5,11.9, , ,30,남서,,1008.4
순창군, ,17.3, , ,15.6,1.3,14.4, , ,38,서남서,,1011.7
순천, ,8.4, , ,13.6,2.7,11.8, , ,48,남남동,,1011.7
안동,연무,9.9,0,0,15.7,-6.6,15.7, , ,21,남서,,1010.1
양산시, ,13.3, , ,15.1,-0.2,13.6, , ,35,서남서,,1012.3
양평,구름많음,10.5,8,1,15.5,-1.5,14.7, , ,31,남남서,,1007.9
여수,연무,6.2,2,2,13.6,6.2,12.5, , ,61,남서,,1013.8
영광군, ,20 이상, , ,14.8,1.3,13.3, , ,40,남서,,1012.5
영덕, ,12.0, , ,14.0,1.2,12.9, , ,42,남남동,,1008.8
영월, ,10.3, , ,15.7,-5.9,15.4, , ,22,남남서,,1007.5
영주, ,11.9, , ,14.6,-3.2,13.4, , ,29,남,,1007.9
영천, ,8.8, , ,15.4,-4.0,14.9, , ,26,서남서,,1011.0
완도, ,11.8, , ,15.2,6.2,14.2, , ,55,서남서,,1013.9
울릉도,구름조금,17.9,3,0,12.7,4.1,10.9, , ,56,남서,,1008.7
울산,맑음,11.4,0,0,15.4,-4.5,14.4, , ,25,남남서,,1010.7
울진, ,18.9, , ,13.3,2.7,12.6, , ,49,남서,,1007.9
원주, ,9.1, , ,14.7,-3.6,13.6, , ,28,남남서,,1007.2
의령군, ,12.2, , ,15.3,-3.6,13.8, , ,27,남서,,1012.2
의성, ,14.8, , ,16.8,-4.4,16.8, , ,23,서남서,,1008.7
이천, ,8.9, , ,16.0,-1.1,15.1, , ,31,남서,,1007.8
인제, ,10.0, , ,13.6,-1.5,11.9, , ,35,남남서,,1005.1
인천,흐림,11.7,10,10,9.9,-2.1,6.0, , ,43,남,,1007.0
임실, ,10.6, , ,15.3,-0.4,14.5, , ,34,서남서,,1010.4
장수, ,8.3, , ,13.2,-1.5,11.5, , ,36,남서,,1010.6
장흥, ,18.1, , ,15.9,0.8,15.5, , ,36,서남서,,1013.2
전주,맑음,14.6,0,0,16.8,-0.4,16.3, , ,31,남서,,1010.2
정선군, ,12.2, , ,13.9,-6.9,13.6, , ,23,북북동,,1006.9
정읍, ,14.0, , ,15.9,0.0,14.8, , ,34,남남서,,1010.9
제주,맑음,11.6,0,0,15.9,8.1,15.4, , ,60,북동,,1014.0
제천, ,8.8, , ,13.7,-3.1,12.9, , ,31,서남서,,1007.2
진도군, ,12.8, , ,14.1,5.9,12.5, , ,58,남서,,1012.7
진주, ,8.2, , ,14.8,3.5,14.4, , ,47,서,,1013.0
창원,연무,9.3,0,0,14.1,0.6,13.1, , ,40,남남동,,1012.3
천안, ,16.0, , ,16.8,-2.8,16.2, , ,26,남서,,1008.7
철원, ,20 이상, , ,11.9,2.6,9.9,0.0, ,53,남남서,,1005.5
청송군, ,20 이상, , ,16.2,-4.9,15.7, , ,23,서,,1008.3
청주,연무,9.0,0,0,16.2,-3.3,15.7, , ,26,서남서,,1008.5
추풍령, ,16.4, , ,15.6,-4.3,14.1, , ,25,서,,1009.0
춘천, ,9.5, , ,14.5,-1.2,13.9, , ,34,남남서,,1005.8
충주, ,9.4, , ,15.8,-2.7,15.4, , ,28,남서,,1007.6
태백, ,12.8, , ,10.6,-8.1,8.6, , ,26,남서,,1006.6
통영, ,8.4, , ,13.8,5.4,12.7, , ,57,남남서,,1013.7
파주,흐림,17.7,10,2,11.1,0.7,8.5, , ,49,남서,,1007.6
포항,맑음,16.6,0,0,17.6,-7.7,17.3, , ,17,남서,,1010.1
함양군, ,14.0, , ,16.3,-4.9,15.4, , ,23,서,,1010.6
합천, ,10.1, , ,16.0,-0.7,15.3, , ,32,남남서,,1010.6
해남, ,9.4, , ,13.9,5.5,12.3, , ,57,남서,,1014.0
홍성,구름많음,19.0,6,0,14.1,-3.2,12.2, , ,30,남서,,1009.5
홍천, ,19.4, , ,14.6,-1.5,14.0, , ,33,남남서,,1006.3
흑산도,맑음,18.7,0,0,12.2,5.5,9.0, , ,64,남,,1011.8
